,0
1148,SIX
1149,PX
1150,VEEV
1151,DO
1152,FORM
1153,FRAC
1154,BRKS
1155,VIG
1156,NVO
1157,SWK
1158,SNDR
1159,MZOR
1160,SBGL
1161,VNDA
1162,ANH
1163,HTHT
1164,EW
1165,SKT
1166,ROK
1167,PENN
1168,AMRN
1169,ALL
1170,IONS
1171,APRN
1172,NEOS
1173,KRNY
1174,SBAC
1175,MFC
1176,FSIC
1177,ZTS
1178,BUD
1179,UA
1180,AROC
1181,THO
1182,BGNE
1183,WB
1184,KT
1185,BOTZ
1186,TGNA
1187,CHGG
1188,HYD
1189,WM
1190,ASX
1191,BDSI
1192,THRM
1193,UMPQ
1194,ALB
1195,RHI
1196,AKRX
1197,HLT
1198,DNOW
1199,PIR
1200,WPG
1201,PNFP
1202,DRH
1203,OC
1204,CUBE
1205,GLPI
1206,CBOE
1207,RDNT
1208,AGRO
1209,AL
1210,PHH
1211,GNRT
1212,AMJ
1213,EVH
1214,UIS
1215,NCS
1216,JELD
1217,TDG
1218,LITE
1219,STAY
1220,TCF
1221,RY
1222,ROST
1223,SYK
1224,REI
1225,HR
1226,TRV
1227,CSL
1228,GWRE
1229,SIR
1230,ANET
1231,BMS
1232,SFLY
1233,PCRX
1234,CSIQ
1235,ICHR
1236,CAVM
1237,WSM
1238,EXP
1239,BWA
1240,SWCH
1241,APLE
1242,ADS
1243,DRQ
1244,AXS
1245,JNUG
1246,MTDR
1247,CARB
1248,CAJ
1249,CNI
1250,TLND
1251,ILMN
1252,ISRG
1253,CAL
1254,SPAR
1255,SAP
1256,ESNT
1257,NMFC
1258,BLDP
1259,OI
1260,DSW
1261,MDU
1262,ELLI
1263,PSXP
1264,EPI
1265,CREE
1266,CWH
1267,DECK
1268,COHR
1269,ACWI
1270,SMFG
1271,FULT
1272,UNIT
1273,LAZ
1274,CASY
1275,TEGP
1276,PODD
1277,NEXA
1278,HRS
1279,QSII
1280,UCO
1281,MATW
1282,PLNT
1283,CAH
1284,AYI
1285,DVA
1286,CHUBK
1287,AMPE
1288,REGN
1289,MELI
1290,SGMS
1291,WCN
1292,IMMR
1293,VKTX
1294,MYOV
1295,ABM
1296,NGL
1297,ARCO
1298,HEWJ
1299,BABY
1300,TYME
1301,UNG
1302,GST
1303,VR
1304,MGPI
1305,NTES
1306,LTRPA
1307,LNC
1308,NGG
1309,TQQQ
1310,SND
1311,SCHF
1312,GTES
1313,CMA
1314,ALK
1315,CHL
1316,PFG
1317,IRET
1318,HUM
1319,TEX
1320,STFC
1321,SAND
1322,JWN
1323,HDSN
1324,HFC
1325,PQG
1326,MBFI
1327,EDU
1328,ESRT
1329,SCHD
1330,LBRT
1331,HDP
1332,PEB
1333,TSN
1334,HSBC
1335,OMI
1336,PTC
1337,CDW
1338,EWI
1339,SBGI
1340,RSP
1341,MMP
1342,PLAY
1343,EGOV
1344,HDB
1345,TSE
1346,WAL
1347,SBS
1348,ARE
1349,EMLC
1350,EXAS
1351,TRGP
1352,LYV
1353,MFA
1354,ECL
1355,RESN
1356,ELY
1357,ARES
1358,DDD
1359,LPT
1360,MKC
1361,WAFD
1362,BSBR
1363,CQP
1364,PETQ
1365,RMD
1366,GPT
1367,IRDM
1368,BKU
1369,H
1370,MDXG
1371,EXPR
1372,AVB
1373,FII
1374,INCY
1375,LBRDK
1376,NVCN
1377,TRMB
1378,CVEO
1379,TDOC
1380,TRU
1381,SOGO
1382,APTI
1383,XYL
1384,MOAT
1385,GPOR
1386,ANDX
1387,ACGL
1388,SFUN
1389,SBNY
1390,GRFS
1391,DY
1392,MGP
1393,SNE
1394,MAA
1395,AEL
1396,CVG
1397,GOGO
1398,TSU
1399,DBC
1400,WES
1401,QUAD
1402,RYN
1403,SYNA
1404,VSTO
1405,BHVN
1406,WYN
1407,PPG
1408,WAIR
1409,ORI
1410,SONC
1411,TPC
1412,XHR
1413,WMGI
1414,MC
1415,COT
1416,DDS
1417,TMST
1418,IPXL
1419,FR
1420,NMIH
1421,MTCH
1422,TRHC
1423,XNET
1424,CIG
1425,HAIN
1426,TIVO
1427,GSY
1428,CUK
1429,ECHO
1430,MSI
1431,PDCE
1432,DRYS
1433,FNV
1434,EGN
1435,LPSN
1436,TELL
1437,KMX
1438,MDSO
1439,LFC
1440,ESPR
1441,BRX
1442,EQGP
1443,LH
1444,CJ
1445,AKAO
1446,PLCE
1447,NBHC
1448,FND
1449,MOH
1450,SSW
1451,FUL
1452,LNCE
1453,MRC
1454,EXR
1455,SCHL
1456,CPG
1457,ITG
1458,ADTN
1459,WHR
1460,AMGP
1461,NTRI
1462,HSY
1463,HTGM
1464,SEAS
1465,BECN
1466,BPOP
1467,IEV
1468,PGRE
1469,COO
1470,JT
1471,WRI
1472,COMM
1473,ABEO
1474,KORS
1475,CPT
1476,SHOP
1477,RETA
1478,MWA
1479,BLUE
1480,EIDO
1481,GWB
1482,SOXS
1483,WPRT
1484,CORT
1485,BOOT
1486,ALEX
1487,VTIP
1488,TKR
1489,RL
1490,DBA
1491,XXII
1492,CLGX
1493,AXGN
1494,MASI
1495,OKTA
1496,BKS
1497,TD
1498,BRO
1499,ALSN
1500,FAF
1501,BRKR
1502,G
1503,CFX
1504,PANW
1505,GPC
1506,ELP
1507,KMPR
1508,BGS
1509,NBIX
1510,CHKP
1511,JAZZ
1512,CMCO
1513,CRS
1514,AMC
1515,BVN
1516,EXK
1517,BLK
1518,IMO
1519,WRD
1520,UUP
1521,SFS
1522,CATM
1523,POR
1524,BBL
1525,GCI
1526,RWX
1527,DYN
1528,ORLY
1529,HDV
1530,GDI
1531,FFIV
1532,PHB
1533,KNL
1534,HOG
